implementation,metric,line_count,workers,worker,iteration,latency_ns
gpioctl_zsh,event-roundtrip,1,1,0,0,40800
gpioctl_zsh,event-delivery,1,1,0,0,16080
gpioctl_zsh,event-roundtrip,1,1,0,1,27080
gpioctl_zsh,event-delivery,1,1,0,1,9520
gpioctl_zsh,event-roundtrip,1,1,0,2,20340
gpioctl_zsh,event-delivery,1,1,0,2,7160
gpioctl_zsh,event-roundtrip,1,1,0,3,19500
gpioctl_zsh,event-delivery,1,1,0,3,7060
gpioctl_zsh,event-roundtrip,1,1,0,4,18700
gpioctl_zsh,event-delivery,1,1,0,4,6500
gpioctl_zsh,event-roundtrip,1,1,0,5,18300
gpioctl_zsh,event-delivery,1,1,0,5,6440
gpioctl_zsh,event-roundtrip,1,1,0,6,18780
gpioctl_zsh,event-delivery,1,1,0,6,6940
gpioctl_zsh,event-roundtrip,1,1,0,7,18560
gpioctl_zsh,event-delivery,1,1,0,7,6280
gpioctl_zsh,event-roundtrip,1,1,0,8,18840
gpioctl_zsh,event-delivery,1,1,0,8,6680
gpioctl_zsh,event-roundtrip,1,1,0,9,18480
gpioctl_zsh,event-delivery,1,1,0,9,6680
gpioctl_zsh,event-roundtrip,1,1,0,10,18560
gpioctl_zsh,event-delivery,1,1,0,10,6780
gpioctl_zsh,event-roundtrip,1,1,0,11,18720
gpioctl_zsh,event-delivery,1,1,0,11,6860
gpioctl_zsh,event-roundtrip,1,1,0,12,18460
gpioctl_zsh,event-delivery,1,1,0,12,6820
gpioctl_zsh,event-roundtrip,1,1,0,13,18460
gpioctl_zsh,event-delivery,1,1,0,13,6660
gpioctl_zsh,event-roundtrip,1,1,0,14,18500
gpioctl_zsh,event-delivery,1,1,0,14,6760
gpioctl_zsh,event-roundtrip,1,1,0,15,18300
gpioctl_zsh,event-delivery,1,1,0,15,6380
gpioctl_zsh,event-roundtrip,1,1,0,16,18440
gpioctl_zsh,event-delivery,1,1,0,16,6880
gpioctl_zsh,event-roundtrip,1,1,0,17,18820
gpioctl_zsh,event-delivery,1,1,0,17,6600
gpioctl_zsh,event-roundtrip,1,1,0,18,18600
gpioctl_zsh,event-delivery,1,1,0,18,6780
gpioctl_zsh,event-roundtrip,1,1,0,19,18180
gpioctl_zsh,event-delivery,1,1,0,19,6400
gpioctl_zsh,event-roundtrip,1,1,0,20,18620
gpioctl_zsh,event-delivery,1,1,0,20,6760
gpioctl_zsh,event-roundtrip,1,1,0,21,18260
gpioctl_zsh,event-delivery,1,1,0,21,6800
gpioctl_zsh,event-roundtrip,1,1,0,22,18560
gpioctl_zsh,event-delivery,1,1,0,22,6560
gpioctl_zsh,event-roundtrip,1,1,0,23,18300
gpioctl_zsh,event-delivery,1,1,0,23,6660
gpioctl_zsh,event-roundtrip,1,1,0,24,18540
gpioctl_zsh,event-delivery,1,1,0,24,6480
gpioctl_zsh,event-roundtrip,1,1,0,25,18900
gpioctl_zsh,event-delivery,1,1,0,25,6660
gpioctl_zsh,event-roundtrip,1,1,0,26,18460
gpioctl_zsh,event-delivery,1,1,0,26,6740
gpioctl_zsh,event-roundtrip,1,1,0,27,18300
gpioctl_zsh,event-delivery,1,1,0,27,6420
gpioctl_zsh,event-roundtrip,1,1,0,28,18300
gpioctl_zsh,event-delivery,1,1,0,28,6660
gpioctl_zsh,event-roundtrip,1,1,0,29,18660
gpioctl_zsh,event-delivery,1,1,0,29,6800
gpioctl_zsh,event-roundtrip,1,1,0,30,18400
gpioctl_zsh,event-delivery,1,1,0,30,6600
gpioctl_zsh,event-roundtrip,1,1,0,31,18440
gpioctl_zsh,event-delivery,1,1,0,31,6380
gpioctl_zsh,event-roundtrip,1,1,0,32,18280
gpioctl_zsh,event-delivery,1,1,0,32,6680
gpioctl_zsh,event-roundtrip,1,1,0,33,18500
gpioctl_zsh,event-delivery,1,1,0,33,6860
gpioctl_zsh,event-roundtrip,1,1,0,34,18700
gpioctl_zsh,event-delivery,1,1,0,34,6840
gpioctl_zsh,event-roundtrip,1,1,0,35,18740
gpioctl_zsh,event-delivery,1,1,0,35,6780
gpioctl_zsh,event-roundtrip,1,1,0,36,18580
gpioctl_zsh,event-delivery,1,1,0,36,6820
gpioctl_zsh,event-roundtrip,1,1,0,37,18160
gpioctl_zsh,event-delivery,1,1,0,37,6640
gpioctl_zsh,event-roundtrip,1,1,0,38,18640
gpioctl_zsh,event-delivery,1,1,0,38,6800
gpioctl_zsh,event-roundtrip,1,1,0,39,18200
gpioctl_zsh,event-delivery,1,1,0,39,6380
gpioctl_zsh,event-roundtrip,1,1,0,40,18160
gpioctl_zsh,event-delivery,1,1,0,40,6660
